"school_id","city","location"
3500277,"Bayard","US-NM"
3600737,"Islip Terrace","US-NY"
3601618,"North Bellmore","US-NY"
3603585,"Scio","US-NY"
4000463,"Eagletown","US-OK"
13000419,"Polson","US-MT"
5501373,"Oconto Falls","US-WI"
13400688,"Jersey City","US-NJ"
801685,"Greeley","US-CO"
3300544,"Andover","US-NH"
2400985,"Potomac","US-MD"
1702476,"Jerseyville","US-IL"
1703929,"Harvey","US-IL"
1704416,"Mundelein","US-IL"
4501453,"Lexington","US-SC"
1200537,"Naples","US-FL"
4206026,"Exton","US-PA"
1600793,"Troy","US-ID"
200214,"Juneau","US-AK"
901904,"Bridgeport","US-CT"
3800282,"Killdeer","US-ND"
2502004,"Methuen","US-MA"
3500737,"Tularosa","US-NM"
3902118,"Batavia","US-OH"
3902588,"Wintersville","US-OH"
3904856,"Rittman","US-OH"
3600287,"Binghamton","US-NY"
3613499,"New York","US-NY"
3618101,"Bronx","US-NY"
4001377,"Sallisaw","US-OK"
3000741,"Savage","US-MT"
501431,"Conway","US-AR"
800253,"Aurora","US-CO"
801210,"Meeker","US-CO"
3300551,"Tilton","US-NH"
2400991,"Germantown","US-MD"
1801273,"Morocco","US-IN"
12600999,"Ypsilanti","US-MI"
2609107,"Detroit","US-MI"
3500732,"Tucumcari","US-NM"
4000929,"Midwest City","US-OK"
800732,"Fowler","US-CO"
2202153,"Metairie","US-LA"
1300632,"Newnan","US-GA"
2001270,"Towanda","US-KS"
4503654,"Blythewood","US-SC"
1200539,"Naples","US-FL"
1212872,"Orlando","US-FL"
2602321,"Linden","US-MI"
2602888,"Plainwell","US-MI"
